"Local Code","Age Group","Population","# of population with at least 1 dose","Percent of population who received at least one dose","# of population fully immunized","Percent of population fully immunized","Alberta: percent of population who received at least one dose","Alberta: percent of population fully immunized","Local Name","Zone Name"
"Z1.3.B.02","20-39 years",767,404,52.6,304,39.6,74.9,63.3,"OYEN","SOUTH"
"Z1.3.B.02","40-59 years",838,544,64.9,452,53.9,83.2,75.6,"OYEN","SOUTH"
"Z1.3.B.02","60-74 years",726,594,81.8,559,77,92,88.4,"OYEN","SOUTH"
"Z1.3.B.02","75+ years",312,270,86.5,262,83.9,92.4,90.6,"OYEN","SOUTH"
"Z1.3.B.02","ALL years",3486,1979,56.8,1691,48.5,70.8,62.9,"OYEN","SOUTH"
"Z1.3.B.03","12-19 years",1265,743,58.7,542,42.8,76.3,64.5,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","12+ years",9600,6819,71,5865,61.1,83.2,74,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","20-39 years",2801,1734,61.9,1360,48.5,74.9,63.3,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","40-59 years",3151,2352,74.6,2072,65.7,83.2,75.6,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","60-74 years",1903,1568,82.4,1490,78.3,92,88.4,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","75+ years",479,395,82.5,383,80,92.4,90.6,"CYPRESS COUNTY","SOUTH"
"Z1.3.B.03","ALL years",11298,6819,60.4,5865,51.9,70.8,62.9,"CYPRESS COUNTY","SOUTH"
"Z1.4.A.01","12-19 years",6316,4404,69.7,3568,56.5,76.3,64.5,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","12+ years",59133,46800,79.1,41212,69.7,83.2,74,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","20-39 years",17728,12270,69.2,9849,55.6,74.9,63.3,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","40-59 years",17120,13548,79.1,11926,69.7,83.2,75.6,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","60-74 years",12190,11034,90.5,10544,86.5,92,88.4,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","75+ years",5779,5328,92.2,5181,89.7,92.4,90.6,"MEDICINE HAT","SOUTH"
"Z1.4.A.01","ALL years",68115,46800,68.7,41212,60.5,70.8,62.9,"MEDICINE HAT","SOUTH"
"Z1.5.A.01","12-19 years",3980,3491,87.7,2951,74.2,76.3,64.5,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","12+ years",32091,28883,90,26202,81.6,83.2,74,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","20-39 years",13363,11404,85.3,9887,74,74.9,63.3,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","40-59 years",8526,7756,91,7275,85.3,83.2,75.6,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","60-74 years",4712,4534,96.2,4458,94.6,92,88.4,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","75+ years",1510,1496,99.1,1490,98.7,92.4,90.6,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.A.01","ALL years",38163,28883,75.7,26202,68.7,70.8,62.9,"LETHBRIDGE - WEST","SOUTH"
"Z1.5.B.02","12-19 years",2462,1863,75.7,1557,63.3,76.3,64.5,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","12+ years",24136,20310,84.1,18101,75,83.2,74,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","20-39 years",8205,6264,76.3,5192,63.3,74.9,63.3,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","40-59 years",7065,5977,84.6,5396,76.4,83.2,75.6,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","60-74 years",4451,4240,95.3,4064,91.3,92,88.4,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","75+ years",1953,1853,94.9,1811,92.7,92.4,90.6,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.B.02","ALL years",27903,20310,72.8,18101,64.9,70.8,62.9,"LETHBRIDGE - NORTH","SOUTH"
"Z1.5.C.03","12-19 years",2585,2007,77.6,1744,67.5,76.3,64.5,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","12+ years",30603,25699,84,23437,76.6,83.2,74,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","20-39 years",9591,7103,74.1,5925,61.8,74.9,63.3,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","40-59 years",7552,6379,84.5,5800,76.8,83.2,75.6,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","60-74 years",6496,5994,92.3,5823,89.6,92,88.4,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","75+ years",4380,4118,94,4094,93.5,92.4,90.6,"LETHBRIDGE - SOUTH","SOUTH"
"Z1.5.C.03","ALL years",34464,25699,74.6,23437,68,70.8,62.9,"LETHBRIDGE - SOUTH","SOUTH"
"Z2.1.A.01","12-19 years",12649,11097,87.7,10207,80.7,76.3,64.5,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","12+ years",106368,94474,88.8,88861,83.5,83.2,74,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","20-39 years",34306,28578,83.3,25975,75.7,74.9,63.3,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","40-59 years",34655,30581,88.2,29102,84,83.2,75.6,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","60-74 years",18400,17552,95.4,17176,93.3,92,88.4,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","75+ years",6358,5964,93.8,5896,92.7,92.4,90.6,"CALGARY - UPPER NW","CALGARY"
"Z2.1.A.01","ALL years",123679,94474,76.4,88861,71.8,70.8,62.9,"CALGARY - UPPER NW","CALGARY"
"Z2.1.B.02","12-19 years",12190,10839,88.9,9781,80.2,76.3,64.5,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","12+ years",97677,88249,90.3,82170,84.1,83.2,74,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","20-39 years",33559,28458,84.8,25475,75.9,74.9,63.3,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","40-59 years",33724,30704,91,29099,86.3,83.2,75.6,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","60-74 years",13973,13636,97.6,13405,95.9,92,88.4,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","75+ years",4231,4004,94.6,3974,93.9,92.4,90.6,"CALGARY - NORTH","CALGARY"
"Z2.1.B.02","ALL years",116945,88249,75.5,82170,70.3,70.8,62.9,"CALGARY - NORTH","CALGARY"
"Z2.1.C.03","12-19 years",5659,5011,88.5,4351,76.9,76.3,64.5,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","12+ years",68028,59468,87.4,53756,79,83.2,74,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","20-39 years",25284,20829,82.4,18114,71.6,74.9,63.3,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","40-59 years",20792,18148,87.3,16468,79.2,83.2,75.6,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","60-74 years",11347,10714,94.4,10225,90.1,92,88.4,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","75+ years",4946,4494,90.9,4403,89,92.4,90.6,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.C.03","ALL years",78021,59468,76.2,53756,68.9,70.8,62.9,"CALGARY - NOSE HILL","CALGARY"
"Z2.1.D.04","12-19 years",6617,5925,89.5,5398,81.6,76.3,64.5,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","12+ years",54432,49403,90.8,46196,84.9,83.2,74,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","20-39 years",16796,14254,84.9,12719,75.7,74.9,63.3,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","40-59 years",17295,15554,89.9,14755,85.3,83.2,75.6,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","60-74 years",9468,9099,96.1,8884,93.8,92,88.4,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","75+ years",4256,4212,99,4174,98.1,92.4,90.6,"CALGARY - LOWER NW","CALGARY"
"Z2.1.D.04","ALL years",62696,49403,78.8,46196,73.7,70.8,62.9,"CALGARY - LOWER NW","CALGARY"
"Z2.1.E.05","12-19 years",1301,1035,79.6,886,68.1,76.3,64.5,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","12+ years",18677,15772,84.4,14528,77.8,83.2,74,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","20-39 years",6501,5274,81.1,4706,72.4,74.9,63.3,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","40-59 years",5542,4596,82.9,4252,76.7,83.2,75.6,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","60-74 years",3624,3269,90.2,3142,86.7,92,88.4,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","75+ years",1709,1546,90.5,1508,88.2,92.4,90.6,"CALGARY - WEST BOW","CALGARY"
"Z2.1.E.05","ALL years",21283,15772,74.1,14528,68.3,70.8,62.9,"CALGARY - WEST BOW","CALGARY"
"Z2.1.F.06","12-19 years",2582,2324,90,2037,78.9,76.3,64.5,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","12+ years",39785,34706,87.2,31964,80.3,83.2,74,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","20-39 years",15684,13273,84.6,11820,75.4,74.9,63.3,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","40-59 years",12280,10474,85.3,9792,79.7,83.2,75.6,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","60-74 years",6243,5750,92.1,5577,89.3,92,88.4,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","75+ years",2995,2700,90.2,2610,87.1,92.4,90.6,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.1.F.06","ALL years",44910,34706,77.3,31964,71.2,70.8,62.9,"CALGARY - CENTRE NORTH","CALGARY"
"Z2.2.A.01","12-19 years",12421,11462,92.3,9986,80.4,76.3,64.5,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","12+ years",98437,92797,94.3,82857,84.2,83.2,74,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","20-39 years",43098,39041,90.6,33435,77.6,74.9,63.3,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","40-59 years",28665,27548,96.1,25446,88.8,83.2,75.6,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","60-74 years",11167,11311,100,10812,96.8,92,88.4,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","75+ years",3086,2820,91.4,2780,90.1,92.4,90.6,"CALGARY - UPPER NE","CALGARY"
"Z2.2.A.01","ALL years",120999,92797,76.7,82857,68.5,70.8,62.9,"CALGARY - UPPER NE","CALGARY"
"Z2.2.B.02","12-19 years",9448,7398,78.3,6107,64.6,76.3,64.5,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","12+ years",81711,68554,83.9,60114,73.6,83.2,74,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","20-39 years",28938,21791,75.3,17668,61.1,74.9,63.3,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","40-59 years",25251,21741,86.1,19506,77.2,83.2,75.6,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","60-74 years",13643,13067,95.8,12497,91.6,92,88.4,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","75+ years",4431,4231,95.5,4132,93.3,92.4,90.6,"CALGARY - LOWER NE","CALGARY"
"Z2.2.B.02","ALL years",96472,68554,71.1,60114,62.3,70.8,62.9,"CALGARY - LOWER NE","CALGARY"
"Z2.3.A.01","12-19 years",6588,4871,73.9,3984,60.5,76.3,64.5,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","12+ years",62912,50567,80.4,43985,69.9,83.2,74,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","20-39 years",21357,15298,71.6,12271,57.5,74.9,63.3,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","40-59 years",20843,16965,81.4,14969,71.8,83.2,75.6,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","60-74 years",10681,10069,94.3,9538,89.3,92,88.4,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","75+ years",3444,3164,91.9,3102,90.1,92.4,90.6,"CALGARY - EAST","CALGARY"
"Z2.3.A.01","ALL years",72509,50567,69.7,43985,60.7,70.8,62.9,"CALGARY - EAST","CALGARY"
"Z2.3.B.02","12-19 years",12372,11109,89.8,9923,80.2,76.3,64.5,"CALGARY - SE","CALGARY"
"Z2.3.B.02","12+ years",109371,97020,88.7,89659,82,83.2,74,"CALGARY - SE","CALGARY"
"Z2.3.B.02","20-39 years",41062,33403,81.3,29766,72.5,74.9,63.3,"CALGARY - SE","CALGARY"
"Z2.3.B.02","40-59 years",37644,33732,89.6,31863,84.6,83.2,75.6,"CALGARY - SE","CALGARY"
"Z2.3.B.02","60-74 years",14370,14096,98.1,13655,95,92,88.4,"CALGARY - SE","CALGARY"
"Z2.3.B.02","75+ years",3922,3914,99.8,3908,99.6,92.4,90.6,"CALGARY - SE","CALGARY"
"Z2.3.B.02","ALL years",134420,97020,72.2,89659,66.7,70.8,62.9,"CALGARY - SE","CALGARY"
"Z2.4.A.01","12-19 years",10184,9172,90.1,8402,82.5,76.3,64.5,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","12+ years",78882,70307,89.1,66215,83.9,83.2,74,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","20-39 years",22334,18488,82.8,16719,74.9,74.9,63.3,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","40-59 years",28093,24754,88.1,23696,84.3,83.2,75.6,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","60-74 years",13214,12492,94.5,12216,92.5,92,88.4,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","75+ years",5058,4799,94.9,4757,94.1,92.4,90.6,"CALGARY - WEST","CALGARY"
"Z2.4.A.01","ALL years",92320,70307,76.2,66215,71.7,70.8,62.9,"CALGARY - WEST","CALGARY"
"Z2.4.B.02","12-19 years",2181,1809,82.9,1511,69.3,76.3,64.5,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","12+ years",62359,52657,84.4,47280,75.8,83.2,74,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","20-39 years",32324,27572,85.3,24436,75.6,74.9,63.3,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","40-59 years",17045,13779,80.8,12244,71.8,83.2,75.6,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","60-74 years",7882,6951,88.2,6620,84,92,88.4,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","75+ years",2927,2463,84.1,2416,82.5,92.4,90.6,"CALGARY - CENTRE","CALGARY"
"Z2.4.B.02","ALL years",67568,52657,77.9,47280,70,70.8,62.9,"CALGARY - CENTRE","CALGARY"
"Z2.4.C.03","12-19 years",4802,4267,88.9,3791,78.9,76.3,64.5,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","12+ years",56896,50238,88.3,46394,81.5,83.2,74,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","20-39 years",21247,17695,83.3,15881,74.7,74.9,63.3,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","40-59 years",18384,16268,88.5,15133,82.3,83.2,75.6,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","60-74 years",8596,8100,94.2,7839,91.2,92,88.4,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","75+ years",3867,3635,94,3554,91.9,92.4,90.6,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.C.03","ALL years",65845,50238,76.3,46394,70.5,70.8,62.9,"CALGARY - CENTRE WEST","CALGARY"
"Z2.4.D.04","12-19 years",2995,2673,89.2,2399,80.1,76.3,64.5,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","12+ years",36799,31733,86.2,29515,80.2,83.2,74,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","20-39 years",11923,9463,79.4,8309,69.7,74.9,63.3,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","40-59 years",10682,9078,85,8473,79.3,83.2,75.6,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","60-74 years",7394,6958,94.1,6824,92.3,92,88.4,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","75+ years",3805,3406,89.5,3395,89.2,92.4,90.6,"CALGARY - ELBOW","CALGARY"
"Z2.4.D.04","ALL years",40834,31733,77.7,29515,72.3,70.8,62.9,"CALGARY - ELBOW","CALGARY"
"Z2.4.E.05","12-19 years",8807,7255,82.4,6346,72.1,76.3,64.5,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","12+ years",98116,84126,85.7,77242,78.7,83.2,74,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","20-39 years",30885,24088,78,20937,67.8,74.9,63.3,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","40-59 years",30114,25807,85.7,23829,79.1,83.2,75.6,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","60-74 years",20290,18994,93.6,18413,90.7,92,88.4,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","75+ years",8019,7562,94.3,7430,92.7,92.4,90.6,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.E.05","ALL years",111574,84126,75.4,77242,69.2,70.8,62.9,"CALGARY - FISH CREEK","CALGARY"
"Z2.4.F.06","12-19 years",12468,10732,86.1,9473,76,76.3,64.5,"CALGARY - SW","CALGARY"
"Z2.4.F.06","12+ years",99671,87961,88.3,81127,81.4,83.2,74,"CALGARY - SW","CALGARY"
"Z2.4.F.06","20-39 years",32083,26373,82.2,23340,72.7,74.9,63.3,"CALGARY - SW","CALGARY"
"Z2.4.F.06","40-59 years",34673,30533,88.1,28585,82.4,83.2,75.6,"CALGARY - SW","CALGARY"
"Z2.4.F.06","60-74 years",14889,14333,96.3,13985,93.9,92,88.4,"CALGARY - SW","CALGARY"
"Z2.4.F.06","75+ years",5558,5405,97.3,5328,95.9,92.4,90.6,"CALGARY - SW","CALGARY"
"Z2.4.F.06","ALL years",116934,87961,75.2,81127,69.4,70.8,62.9,"CALGARY - SW","CALGARY"
"Z2.5.A.01","12-19 years",5567,4297,77.2,3606,64.8,76.3,64.5,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","12+ years",39635,32157,81.1,29024,73.2,83.2,74,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","20-39 years",10326,7120,69,5935,57.5,74.9,63.3,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","40-59 years",13356,10759,80.6,9880,74,83.2,75.6,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","60-74 years",7935,7332,92.4,7042,88.7,92,88.4,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","75+ years",2450,2405,98.2,2392,97.7,92.4,90.6,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.A.01","ALL years",46042,32157,69.8,29024,63,70.8,62.9,"OKOTOKS-PRIDDIS","CALGARY"
"Z2.5.B.02","12-19 years",762,445,58.4,352,46.2,76.3,64.5,"BLACK DIAMOND","CALGARY"
"Z2.5.B.02","12+ years",7647,5585,73,4888,63.9,83.2,74,"BLACK DIAMOND","CALGARY"
"Z2.5.B.02","20-39 years",1793,1076,60,814,45.4,74.9,63.3,"BLACK DIAMOND","CALGARY"
"Z2.5.B.02","40-59 years",2338,1622,69.4,1412,60.4,83.2,75.6,"BLACK DIAMOND","CALGARY"
